,mrio,order,psi,base_alpha,max_alpha,tau_alpha,sectors_scenario,recovery_scenario,flood_scenario
358,euregio_full_2010,alt,0.85,1,1.25,90,default,reb90q,germany21
359,euregio_full_2010,alt,0.85,1,1.25,90,default,reb180q,germany21
360,euregio_full_2010,alt,0.85,1,1.25,90,default,reb180,germany21
361,euregio_full_2010,alt,0.85,1,1.25,90,default,reb365,germany21
362,euregio_full_2010,alt,0.85,1,1.25,90,default,reb545,germany21
363,euregio_full_2010,alt,0.85,1,1.25,365,default,recfast,germany21
364,euregio_full_2010,alt,0.85,1,1.25,365,default,reclin2,germany21
365,euregio_full_2010,alt,0.85,1,1.25,365,default,recS2,germany21
366,euregio_full_2010,alt,0.85,1,1.25,365,default,reclin6,germany21
367,euregio_full_2010,alt,0.85,1,1.25,365,default,recS6,germany21
368,euregio_full_2010,alt,0.85,1,1.25,365,default,reb90,germany21
369,euregio_full_2010,alt,0.85,1,1.25,365,default,reb90q,germany21
370,euregio_full_2010,alt,0.85,1,1.25,365,default,reb180q,germany21
371,euregio_full_2010,alt,0.85,1,1.25,365,default,reb180,germany21
372,euregio_full_2010,alt,0.85,1,1.25,365,default,reb365,germany21
373,euregio_full_2010,alt,0.85,1,1.25,365,default,reb545,germany21
374,euregio_full_2010,alt,0.95,1,1.25,90,default,recfast,germany21
375,euregio_full_2010,alt,0.95,1,1.25,90,default,reclin2,germany21
376,euregio_full_2010,alt,0.95,1,1.25,90,default,recS2,germany21
377,euregio_full_2010,alt,0.95,1,1.25,90,default,reclin6,germany21
378,euregio_full_2010,alt,0.95,1,1.25,90,default,recS6,germany21
379,euregio_full_2010,alt,0.95,1,1.25,90,default,reb90,germany21
380,euregio_full_2010,alt,0.95,1,1.25,90,default,reb90q,germany21
381,euregio_full_2010,alt,0.95,1,1.25,90,default,reb180q,germany21
382,euregio_full_2010,alt,0.95,1,1.25,90,default,reb180,germany21
383,euregio_full_2010,alt,0.95,1,1.25,90,default,reb365,germany21
384,euregio_full_2010,alt,0.95,1,1.25,90,default,reb545,germany21
385,euregio_full_2010,alt,0.95,1,1.25,365,default,recfast,germany21
386,euregio_full_2010,alt,0.95,1,1.25,365,default,reclin2,germany21
387,euregio_full_2010,alt,0.95,1,1.25,365,default,recS2,germany21
388,euregio_full_2010,alt,0.95,1,1.25,365,default,reclin6,germany21
389,euregio_full_2010,alt,0.95,1,1.25,365,default,recS6,germany21
390,euregio_full_2010,alt,0.95,1,1.25,365,default,reb90,germany21
391,euregio_full_2010,alt,0.95,1,1.25,365,default,reb90q,germany21
392,euregio_full_2010,alt,0.95,1,1.25,365,default,reb180q,germany21
393,euregio_full_2010,alt,0.95,1,1.25,365,default,reb180,germany21
394,euregio_full_2010,alt,0.95,1,1.25,365,default,reb365,germany21
395,euregio_full_2010,alt,0.95,1,1.25,365,default,reb545,germany21
