,mrio,order,psi,base_alpha,max_alpha,tau_alpha,sectors_scenario,recovery_scenario,flood_scenario
86,eora26_full_2010,alt,0.8,1,1.25,365,default,reb365,germany21
87,eora26_full_2010,alt,0.8,1,1.25,365,default,reb545,germany21
88,eora26_full_2010,alt,0.85,1,1.25,90,default,recfast,germany21
89,eora26_full_2010,alt,0.85,1,1.25,90,default,reclin2,germany21
90,eora26_full_2010,alt,0.85,1,1.25,90,default,recS2,germany21
91,eora26_full_2010,alt,0.85,1,1.25,90,default,reclin6,germany21
92,eora26_full_2010,alt,0.85,1,1.25,90,default,recS6,germany21
93,eora26_full_2010,alt,0.85,1,1.25,90,default,reb90,germany21
94,eora26_full_2010,alt,0.85,1,1.25,90,default,reb90q,germany21
95,eora26_full_2010,alt,0.85,1,1.25,90,default,reb180q,germany21
96,eora26_full_2010,alt,0.85,1,1.25,90,default,reb180,germany21
97,eora26_full_2010,alt,0.85,1,1.25,90,default,reb365,germany21
98,eora26_full_2010,alt,0.85,1,1.25,90,default,reb545,germany21
99,eora26_full_2010,alt,0.85,1,1.25,365,default,recfast,germany21
100,eora26_full_2010,alt,0.85,1,1.25,365,default,reclin2,germany21
101,eora26_full_2010,alt,0.85,1,1.25,365,default,recS2,germany21
102,eora26_full_2010,alt,0.85,1,1.25,365,default,reclin6,germany21
103,eora26_full_2010,alt,0.85,1,1.25,365,default,recS6,germany21
104,eora26_full_2010,alt,0.85,1,1.25,365,default,reb90,germany21
105,eora26_full_2010,alt,0.85,1,1.25,365,default,reb90q,germany21
106,eora26_full_2010,alt,0.85,1,1.25,365,default,reb180q,germany21
107,eora26_full_2010,alt,0.85,1,1.25,365,default,reb180,germany21
108,eora26_full_2010,alt,0.85,1,1.25,365,default,reb365,germany21
109,eora26_full_2010,alt,0.85,1,1.25,365,default,reb545,germany21
110,eora26_full_2010,alt,0.95,1,1.25,90,default,recfast,germany21
111,eora26_full_2010,alt,0.95,1,1.25,90,default,reclin2,germany21
112,eora26_full_2010,alt,0.95,1,1.25,90,default,recS2,germany21
113,eora26_full_2010,alt,0.95,1,1.25,90,default,reclin6,germany21
114,eora26_full_2010,alt,0.95,1,1.25,90,default,recS6,germany21
115,eora26_full_2010,alt,0.95,1,1.25,90,default,reb90,germany21
116,eora26_full_2010,alt,0.95,1,1.25,90,default,reb90q,germany21
117,eora26_full_2010,alt,0.95,1,1.25,90,default,reb180q,germany21
118,eora26_full_2010,alt,0.95,1,1.25,90,default,reb180,germany21
119,eora26_full_2010,alt,0.95,1,1.25,90,default,reb365,germany21
120,eora26_full_2010,alt,0.95,1,1.25,90,default,reb545,germany21
121,eora26_full_2010,alt,0.95,1,1.25,365,default,recfast,germany21
122,eora26_full_2010,alt,0.95,1,1.25,365,default,reclin2,germany21
123,eora26_full_2010,alt,0.95,1,1.25,365,default,recS2,germany21
124,eora26_full_2010,alt,0.95,1,1.25,365,default,reclin6,germany21
125,eora26_full_2010,alt,0.95,1,1.25,365,default,recS6,germany21
126,eora26_full_2010,alt,0.95,1,1.25,365,default,reb90,germany21
127,eora26_full_2010,alt,0.95,1,1.25,365,default,reb90q,germany21
128,eora26_full_2010,alt,0.95,1,1.25,365,default,reb180q,germany21
129,eora26_full_2010,alt,0.95,1,1.25,365,default,reb180,germany21
130,eora26_full_2010,alt,0.95,1,1.25,365,default,reb365,germany21
131,eora26_full_2010,alt,0.95,1,1.25,365,default,reb545,germany21
132,exiobase3_full_2000_ixi,alt,0.8,1,1.25,90,default,recfast,germany21
133,exiobase3_full_2000_ixi,alt,0.8,1,1.25,90,default,reclin2,germany21
134,exiobase3_full_2000_ixi,alt,0.8,1,1.25,90,default,recS2,germany21
135,exiobase3_full_2000_ixi,alt,0.8,1,1.25,90,default,reclin6,germany21
136,exiobase3_full_2000_ixi,alt,0.8,1,1.25,90,default,recS6,germany21
137,exiobase3_full_2000_ixi,alt,0.8,1,1.25,90,default,reb90,germany21
138,exiobase3_full_2000_ixi,alt,0.8,1,1.25,90,default,reb90q,germany21
139,exiobase3_full_2000_ixi,alt,0.8,1,1.25,90,default,reb180q,germany21
140,exiobase3_full_2000_ixi,alt,0.8,1,1.25,90,default,reb180,germany21
141,exiobase3_full_2000_ixi,alt,0.8,1,1.25,90,default,reb365,germany21
142,exiobase3_full_2000_ixi,alt,0.8,1,1.25,90,default,reb545,germany21
143,exiobase3_full_2000_ixi,alt,0.8,1,1.25,365,default,recfast,germany21
144,exiobase3_full_2000_ixi,alt,0.8,1,1.25,365,default,reclin2,germany21
145,exiobase3_full_2000_ixi,alt,0.8,1,1.25,365,default,recS2,germany21
146,exiobase3_full_2000_ixi,alt,0.8,1,1.25,365,default,reclin6,germany21
147,exiobase3_full_2000_ixi,alt,0.8,1,1.25,365,default,recS6,germany21
148,exiobase3_full_2000_ixi,alt,0.8,1,1.25,365,default,reb90,germany21
149,exiobase3_full_2000_ixi,alt,0.8,1,1.25,365,default,reb90q,germany21
150,exiobase3_full_2000_ixi,alt,0.8,1,1.25,365,default,reb180q,germany21
151,exiobase3_full_2000_ixi,alt,0.8,1,1.25,365,default,reb180,germany21
152,exiobase3_full_2000_ixi,alt,0.8,1,1.25,365,default,reb365,germany21
153,exiobase3_full_2000_ixi,alt,0.8,1,1.25,365,default,reb545,germany21
154,exiobase3_full_2000_ixi,alt,0.85,1,1.25,90,default,recfast,germany21
155,exiobase3_full_2000_ixi,alt,0.85,1,1.25,90,default,reclin2,germany21
156,exiobase3_full_2000_ixi,alt,0.85,1,1.25,90,default,recS2,germany21
157,exiobase3_full_2000_ixi,alt,0.85,1,1.25,90,default,reclin6,germany21
158,exiobase3_full_2000_ixi,alt,0.85,1,1.25,90,default,recS6,germany21
159,exiobase3_full_2000_ixi,alt,0.85,1,1.25,90,default,reb90,germany21
160,exiobase3_full_2000_ixi,alt,0.85,1,1.25,90,default,reb90q,germany21
161,exiobase3_full_2000_ixi,alt,0.85,1,1.25,90,default,reb180q,germany21
162,exiobase3_full_2000_ixi,alt,0.85,1,1.25,90,default,reb180,germany21
163,exiobase3_full_2000_ixi,alt,0.85,1,1.25,90,default,reb365,germany21
164,exiobase3_full_2000_ixi,alt,0.85,1,1.25,90,default,reb545,germany21
165,exiobase3_full_2000_ixi,alt,0.85,1,1.25,365,default,recfast,germany21
166,exiobase3_full_2000_ixi,alt,0.85,1,1.25,365,default,reclin2,germany21
167,exiobase3_full_2000_ixi,alt,0.85,1,1.25,365,default,recS2,germany21
168,exiobase3_full_2000_ixi,alt,0.85,1,1.25,365,default,reclin6,germany21
169,exiobase3_full_2000_ixi,alt,0.85,1,1.25,365,default,recS6,germany21
170,exiobase3_full_2000_ixi,alt,0.85,1,1.25,365,default,reb90,germany21
171,exiobase3_full_2000_ixi,alt,0.85,1,1.25,365,default,reb90q,germany21
172,exiobase3_full_2000_ixi,alt,0.85,1,1.25,365,default,reb180q,germany21
173,exiobase3_full_2000_ixi,alt,0.85,1,1.25,365,default,reb180,germany21
174,exiobase3_full_2000_ixi,alt,0.85,1,1.25,365,default,reb365,germany21
175,exiobase3_full_2000_ixi,alt,0.85,1,1.25,365,default,reb545,germany21
176,exiobase3_full_2000_ixi,alt,0.95,1,1.25,90,default,recfast,germany21
177,exiobase3_full_2000_ixi,alt,0.95,1,1.25,90,default,reclin2,germany21
178,exiobase3_full_2000_ixi,alt,0.95,1,1.25,90,default,recS2,germany21
179,exiobase3_full_2000_ixi,alt,0.95,1,1.25,90,default,reclin6,germany21
180,exiobase3_full_2000_ixi,alt,0.95,1,1.25,90,default,recS6,germany21
181,exiobase3_full_2000_ixi,alt,0.95,1,1.25,90,default,reb90,germany21
182,exiobase3_full_2000_ixi,alt,0.95,1,1.25,90,default,reb90q,germany21
183,exiobase3_full_2000_ixi,alt,0.95,1,1.25,90,default,reb180q,germany21
184,exiobase3_full_2000_ixi,alt,0.95,1,1.25,90,default,reb180,germany21
185,exiobase3_full_2000_ixi,alt,0.95,1,1.25,90,default,reb365,germany21
186,exiobase3_full_2000_ixi,alt,0.95,1,1.25,90,default,reb545,germany21
187,exiobase3_full_2000_ixi,alt,0.95,1,1.25,365,default,recfast,germany21
188,exiobase3_full_2000_ixi,alt,0.95,1,1.25,365,default,reclin2,germany21
189,exiobase3_full_2000_ixi,alt,0.95,1,1.25,365,default,recS2,germany21
190,exiobase3_full_2000_ixi,alt,0.95,1,1.25,365,default,reclin6,germany21
191,exiobase3_full_2000_ixi,alt,0.95,1,1.25,365,default,recS6,germany21
192,exiobase3_full_2000_ixi,alt,0.95,1,1.25,365,default,reb90,germany21
193,exiobase3_full_2000_ixi,alt,0.95,1,1.25,365,default,reb90q,germany21
194,exiobase3_full_2000_ixi,alt,0.95,1,1.25,365,default,reb180q,germany21
195,exiobase3_full_2000_ixi,alt,0.95,1,1.25,365,default,reb180,germany21
196,exiobase3_full_2000_ixi,alt,0.95,1,1.25,365,default,reb365,germany21
197,exiobase3_full_2000_ixi,alt,0.95,1,1.25,365,default,reb545,germany21
198,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,recfast,germany21
199,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,reclin2,germany21
200,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,recS2,germany21
201,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,reclin6,germany21
202,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,recS6,germany21
203,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,reb90,germany21
204,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,reb90q,germany21
205,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,reb180q,germany21
206,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,reb180,germany21
207,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,reb365,germany21
208,exiobase3_full_2010_ixi,alt,0.8,1,1.25,90,default,reb545,germany21
209,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,recfast,germany21
210,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,reclin2,germany21
211,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,recS2,germany21
212,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,reclin6,germany21
213,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,recS6,germany21
214,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,reb90,germany21
215,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,reb90q,germany21
216,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,reb180q,germany21
217,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,reb180,germany21
218,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,reb365,germany21
219,exiobase3_full_2010_ixi,alt,0.8,1,1.25,365,default,reb545,germany21
