sector,group,name
Private households with employed persons (95),74,"Other (91,92,93,95)"
Processed rice,19,Processing of food products nec
Processing of dairy products,19,Processing of food products nec
Processing of Food products nec,19,Processing of food products nec
Processing of meat cattle,18,Processing of meat products
Processing of meat pigs,18,Processing of meat products
Processing of meat poultry,18,Processing of meat products
Processing of nuclear fuel,27,Processing of nuclear fuel
Processing vegetable oils and fats,19,Processing of food products nec
Production of electricity by biomass and waste,51,Production of electricity
Production of electricity by coal,51,Production of electricity
Production of electricity by gas,51,Production of electricity
Production of electricity by Geothermal,51,Production of electricity
Production of electricity by hydro,51,Production of electricity
Production of electricity by nuclear,51,Production of electricity
Production of electricity by petroleum and other oil derivatives,51,Production of electricity
Production of electricity by solar photovoltaic,51,Production of electricity
Production of electricity by solar thermal,51,Production of electricity
"Production of electricity by tide, wave, ocean",51,Production of electricity
Production of electricity by wind,51,Production of electricity
Production of electricity nec,51,Production of electricity
Production of meat products nec,18,Processing of meat products
Public administration and defence; compulsory social security (75),72,"Public administration and defence; compulsory social security, Education and Health (75,80,85)"
"Publishing, printing and reproduction of recorded media (22)",24,"Publishing, printing and reproduction of recorded media (22)"
Pulp,23,Paper
Quarrying of sand and clay,17,Quarrying
Quarrying of stone,17,Quarrying
Raw milk,3,"Milk, Animal products nec"
Re-processing of ash into clinker,34,Manufacture of construction products and cement
Re-processing of secondary aluminium into new aluminium,38,Aluminium production
Re-processing of secondary construction material into aggregates,55,Construction (45)
Re-processing of secondary copper into new copper,40,Copper production
Re-processing of secondary glass into new glass,32,Manufacture of glass and glass products
"Re-processing of secondary lead into new lead, zinc and tin",39,"Lead, zinc and tin production"
Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,41,Other non-ferrous metal production
Re-processing of secondary paper into new pulp,23,Paper
Re-processing of secondary plastic into new plastic,28,"Plastics, basic"
Re-processing of secondary preciuos metals into new preciuos metals,37,Precious metals production
Re-processing of secondary steel into new steel,36,Manufacture of basic iron and steel and of ferro-alloys and first products thereof
Re-processing of secondary wood material into new wood material,22,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)"
Real estate activities (70),69,"Financial intermediation, insurance and pension funding (65)"
"Recreational, cultural and sporting activities (92)",74,"Other (91,92,93,95)"
Recycling of bottles by direct reuse,50,Recycling of waste and scrap
Recycling of waste and scrap,50,Recycling of waste and scrap
Renting of machinery and equipment without operator and of personal and household goods (71),70,Renting of machinery and equipment without operator and of personal and household goods (71)
Research and development (73),71,Other business activities (74)
Retail sale of automotive fuel,57,Retail sale of automotive fuel
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",59,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)"
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",56,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
Sea and coastal water transport,64,Sea and coastal water transport
Steam and hot water supply,54,"Collection, purification and distribution of water (41)"
Sugar refining,19,Processing of food products nec
Supporting and auxiliary transport activities; activities of travel agencies (63),67,Supporting and auxiliary transport activities; activities of travel agencies (63)
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",21,"Manufacture of textile and wearing apparel (17,18)"
Transmission of electricity,52,Transmission and distribution of electricity
Transport via pipelines,63,Transport via pipelines
Transport via railways,61,Transport via railways
"Waste water treatment, food",73,Waste disposal
"Waste water treatment, other",73,Waste disposal
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",58,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)"
"Wool, silk-worm cocoons",3,"Milk, Animal products nec"
